"location","variable","Unit","Date","Value"
"Ukraine","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",4029
"Kosovo under UNSCR 1244","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",3376
"Kosovo under UNSCR 1244","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",3539
"Kosovo under UNSCR 1244","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",3760
"Kosovo under UNSCR 1244","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",3743
"Kosovo under UNSCR 1244","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",3805
"Kosovo under UNSCR 1244","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",653
"The former Yugoslav Republic of Macedonia","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",441
"The former Yugoslav Republic of Macedonia","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",349
"The former Yugoslav Republic of Macedonia","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",213
"The former Yugoslav Republic of Macedonia","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",228
"The former Yugoslav Republic of Macedonia","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",248
"The former Yugoslav Republic of Macedonia","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",239
"The former Yugoslav Republic of Macedonia","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",211
"The former Yugoslav Republic of Macedonia","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",216
"Spain","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",172824
"Spain","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",180706
"Spain","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",70536
"Spain","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",72803
"Spain","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",80910
"Spain","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",25077
"Spain","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",18290
"Spain","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",17353
"Spain","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",16701
"Slovenia","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",2400
"Slovenia","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",2379
"Slovenia","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",2304
"Slovenia","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",2431
"Slovenia","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",2482
"Slovenia","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",2135
"Slovenia","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",2177
"Slovenia","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",2182
"Slovenia","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",1974
"Slovenia","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",2032
"Slovenia","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",1849
"Serbia","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",1614
"Serbia","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",1657
"Serbia","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",1681
"Serbia","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",1582
"Serbia","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",1442
"Serbia","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",1391
"Serbia","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",1309
"Serbia","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",1323
"Serbia","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",1286
"Portugal","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",44304
"Portugal","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",41716
"Portugal","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",39220
"Portugal","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",39998
"Portugal","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",37389
"Portugal","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",33494
"Portugal","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",33205
"Portugal","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",30816
"Portugal","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",28775
"Portugal","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",27178
"Portugal","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",25698
"Montenegro","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",141
"Montenegro","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",150
"Montenegro","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",155
"Montenegro","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",164
"Montenegro","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",196
"Montenegro","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",186
"Montenegro","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",193
"Montenegro","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",161
"Montenegro","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",168
"Montenegro","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",173
"Malta","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",196
"Malta","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",173
"Malta","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",180
"Malta","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",181
"Malta","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",174
"Malta","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",218
"Italy","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",51823
"Italy","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",56629
"Italy","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",59143
"Italy","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",63602
"Italy","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",65791
"Italy","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",65611
"Italy","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",64866
"Italy","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",68500
"Italy","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",69527
"Italy","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",66317
"Bosnia and Herzegovina","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",1369
"Bosnia and Herzegovina","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",1498
"Bosnia and Herzegovina","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",1566
"Bosnia and Herzegovina","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",1474
"Bosnia and Herzegovina","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",505
"Bosnia and Herzegovina","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",652
"Bosnia and Herzegovina","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",618
"Bosnia and Herzegovina","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",577
"Croatia","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",1249
"Croatia","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",1153
"Croatia","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",1153
"Croatia","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",1069
"Croatia","Assault at the national level, count","Number","1/1/2007 12:00:00 AM",1093
"Croatia","Assault at the national level, count","Number","1/1/2008 12:00:00 AM",1128
"Croatia","Assault at the national level, count","Number","1/1/2009 12:00:00 AM",1059
"Croatia","Assault at the national level, count","Number","1/1/2010 12:00:00 AM",986
"Croatia","Assault at the national level, count","Number","1/1/2011 12:00:00 AM",873
"Croatia","Assault at the national level, count","Number","1/1/2012 12:00:00 AM",903
"Croatia","Assault at the national level, count","Number","1/1/2013 12:00:00 AM",823
"Greece","Assault at the national level, count","Number","1/1/2003 12:00:00 AM",7663
"Greece","Assault at the national level, count","Number","1/1/2004 12:00:00 AM",7606
"Greece","Assault at the national level, count","Number","1/1/2005 12:00:00 AM",7777
"Greece","Assault at the national level, count","Number","1/1/2006 12:00:00 AM",7399
