"location","variable","Unit","Date","Value"
"Estonia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",30.98906241
"Estonia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",24.02475709
"Estonia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",21.17774442
"Estonia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",23.715142
"Estonia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",28.13827823
"Estonia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",30.3370583
"Estonia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2003 12:00:00 AM",16.05132842
"Estonia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",39.49162417
"Estonia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",26.8406914
"Estonia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",18.58144384
"Finland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",60.99894901
"Finland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",64.91674349
"Finland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",60.34420692
"Finland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",45.0286557
"Finland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",41.26179119
"Finland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",54.64155161
"Finland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",36.57768574
"Finland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2003 12:00:00 AM",30.32678695
"Finland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",33.75832482
"Finland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",51.78615734
"Finland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",43.95096916
"Iceland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",137.16297207
"Iceland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",83.77651005
"Iceland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",88.49502565
"Iceland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",118.94219022
"Iceland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",97.05302532
"Iceland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",93.45079533
"Iceland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",114.44236401
"Ireland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",43.6767763
"Ireland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",46.26422401
"Ireland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",44.529504
"Ireland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",52.95954549
"Ireland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",33.55687959
"Ireland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",32.30953175
"Ireland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",43.31407248
"Ireland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",42.88032425
"Ireland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",33.48237526
"Ireland","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",31.83750659
"Lithuania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",14.65064024
"Lithuania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",16.74582122
"Lithuania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",18.75833613
"Lithuania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",19.26049477
"Lithuania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",12.79830611
"Lithuania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",12.97994789
"Lithuania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",16.97709188
"Lithuania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2003 12:00:00 AM",12.28388502
"Lithuania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",13.32029704
"Lithuania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",16.0861104
