"AGE","GEO","SEX","TIME","VALUE","FLAGS","FOOTNOTES"
"Y15-29","HR","T","2011","794901","",""
"Y_LT15","HR","T","2011","652428","",""
"Y50-64","HR","M","2011","439582","",""
"Y_LT15","HR","M","2011","334725","",""
"Y65-84","HR","T","2011","698033","",""
"Y_GE85","HR","M","2011","15477","",""
"Y50-64","HR","F","2011","465478","",""
"Y30-49","HR","T","2011","1173867","",""
"Y65-84","HR","F","2011","417302","",""
"TOTAL","HR","T","2011","4284889","",""
"Y15-29","HR","M","2011","405789","",""
"Y_GE85","BG","F","2011","71089","",""
"Y15-29","BG","M","2011","701435","",""
"TOTAL","BG","M","2011","3586571","",""
"Y30-49","BG","T","2011","2088763","",""
"Y15-29","BG","T","2011","1357480","",""
"Y50-64","BG","M","2011","756516","",""
"Y30-49","BG","F","2011","1015842","",""
"Y65-84","BG","T","2011","1253918","",""
"TOTAL","BG","T","2011","7364570","",""
"Y65-84","BG","M","2011","517591","",""
"TOTAL","BG","F","2011","3777999","",""
"Y_GE85","BG","T","2011","107479","",""
"Y50-64","BG","T","2011","1581658","",""
"Y15-29","BG","F","2011","656045","",""
"Y30-49","BG","M","2011","1072921","",""
"Y_GE85","BG","M","2011","36390","",""
"Y65-84","BG","F","2011","736327","",""
"Y_LT15","BG","F","2011","473554","",""
"Y_LT15","BG","T","2011","975272","",""
"Y_LT15","BG","M","2011","501718","",""
"Y50-64","BG","F","2011","825142","",""
"Y30-49","CY","T","2011","248677","",""
"TOTAL","CY","T","2011","840407","",""
"Y65-84","CY","T","2011","101112","",""
"Y15-29","CY","T","2011","196005","",""
"Y_GE85","CY","F","2011","6436","",""
"TOTAL","CY","M","2011","408780","",""
"Y50-64","CY","F","2011","75580","",""
"Y65-84","CY","F","2011","53710","",""
"Y65-84","CY","M","2011","47402","",""
"Y_GE85","CY","T","2011","10740","",""
"TOTAL","CY","F","2011","431627","",""
"Y_GE85","CY","M","2011","4304","",""
"Y30-49","CY","F","2011","133675","",""
"Y_LT15","CY","T","2011","134948","",""
"Y_LT15","CY","F","2011","65787","",""
"Y_LT15","CY","M","2011","69161","",""
"Y15-29","CY","F","2011","96439","",""
"Y50-64","CY","T","2011","148925","",""
"Y15-29","CY","M","2011","99566","",""
"Y30-49","CY","M","2011","115002","",""
"Y50-64","CY","M","2011","73345","",""
"Y_GE85","SK","T","2011","60801","",""
"Y15-29","SK","F","2011","578333","",""
"TOTAL","SK","M","2011","2627772","",""
"Y_GE85","SK","F","2011","43852","",""
"Y65-84","SK","M","2011","239558","",""
"Y_LT15","SK","T","2011","826645","",""
"TOTAL","SK","F","2011","2769264","",""
"Y50-64","SK","M","2011","519062","",""
"Y50-64","SK","T","2011","1082934","",""
"Y30-49","SK","M","2011","823940","",""
"Y_GE85","SK","M","2011","16949","",""
"Y15-29","SK","M","2011","604082","",""
"Y65-84","SK","T","2011","622072","",""
"Y_LT15","SK","M","2011","424181","",""
"Y50-64","SK","F","2011","563872","",""
"Y15-29","SK","T","2011","1182415","",""
"Y30-49","SK","F","2011","798229","",""
"Y65-84","SK","F","2011","382514","",""
"Y30-49","SK","T","2011","1622169","",""
"TOTAL","SK","T","2011","5397036","",""
"Y_LT15","SK","F","2011","402464","",""
"Y65-84","CZ","M","2011","621201","",""
"Y_LT15","CZ","M","2011","763949","",""
"Y50-64","CZ","T","2011","2155450","",""
"Y_GE85","CZ","F","2011","111757","",""
"Y15-29","CZ","M","2011","1006707","",""
"Y65-84","CZ","T","2011","1490155","",""
"Y30-49","CZ","M","2011","1605672","",""
"Y15-29","CZ","F","2011","961888","",""
"Y15-29","CZ","T","2011","1968595","",""
"Y30-49","CZ","F","2011","1537452","",""
"TOTAL","CZ","F","2011","5326794","",""
"Y30-49","CZ","T","2011","3143124","",""
"Y50-64","CZ","M","2011","1049411","",""
"Y_LT15","CZ","F","2011","724979","",""
"Y65-84","CZ","F","2011","868954","",""
"Y_GE85","CZ","T","2011","154681","",""
"TOTAL","CZ","T","2011","10436560","",""
"Y_LT15","CZ","T","2011","1488928","",""
"Y_GE85","CZ","M","2011","42924","",""
"Y50-64","CZ","F","2011","1106039","",""
"TOTAL","CZ","M","2011","5109766","",""
"Y_GE85","FI","T","2011","114160","",""
"Y_LT15","FI","F","2011","434032","",""
"TOTAL","FI","T","2011","5375276","",""
"Y50-64","FI","F","2011","585864","",""
"Y50-64","FI","T","2011","1160677","",""
"Y65-84","FI","M","2011","361569","",""
"Y15-29","FI","F","2011","491176","",""
"Y50-64","FI","M","2011","574813","",""
"TOTAL","FI","F","2011","2736860","",""
"Y30-49","FI","T","2011","1379954","",""
"Y65-84","FI","T","2011","826881","",""
"TOTAL","FI","M","2011","2638416","",""
"Y30-49","FI","F","2011","676457","",""
"Y30-49","FI","M","2011","703497","",""
"Y_LT15","FI","T","2011","887677","",""
"Y15-29","FI","T","2011","1005927","",""
"Y65-84","FI","F","2011","465312","",""
"Y_GE85","FI","M","2011","30141","",""
"Y_LT15","FI","M","2011","453645","",""
"Y15-29","FI","M","2011","514751","",""
"Y_GE85","FI","F","2011","84019","",""
"Y_GE85","FR","F","2011","1143466","",""
"Y50-64","FR","M","2011","6036980","",""
"Y15-29","FR","F","2011","5987457","",""
"Y_LT15","FR","F","2011","5872401","",""
"Y65-84","FR","M","2011","4034396","",""
"Y65-84","FR","T","2011","9271403","",""
"Y50-64","FR","T","2011","12416832","",""
"Y_GE85","FR","T","2011","1629587","",""
"Y30-49","FR","F","2011","8880470","",""
"Y30-49","FR","M","2011","8675777","",""
"TOTAL","FR","M","2011","31432745","",""
"Y_GE85","FR","M","2011","486121","",""
"Y_LT15","FR","T","2011","12028794","",""
"TOTAL","FR","T","2011","64933400","",""
"Y_LT15","FR","M","2011","6156393","",""
"Y15-29","FR","T","2011","12030536","",""
"Y30-49","FR","T","2011","17556247","",""
"Y65-84","FR","F","2011","5237008","",""
"Y50-64","FR","F","2011","6379853","",""
"TOTAL","FR","F","2011","33500655","",""
"Y15-29","FR","M","2011","6043079","",""
"Y15-29","EL","M","2011","983130","",""
"Y50-64","EL","T","2011","2017623","",""
"Y_LT15","EL","M","2011","803007","",""
"Y_LT15","EL","T","2011","1569268","",""
"Y_GE85","EL","F","2011","145670","",""
"Y65-84","EL","F","2011","1033357","",""
"Y_GE85","EL","T","2011","230961","",""
"TOTAL","EL","F","2011","5513063","",""
"TOTAL","EL","T","2011","10816286","",""
"Y65-84","EL","T","2011","1877891","",""
